gameDuration,victory,FirstBlood,Dragon,Baron,Tower,Inhibitor
2022,1,1,2,1,8,1
2241,0,0,0,0,4,0
2010,0,0,1,0,2,0
1809,1,0,3,0,11,1
1696,0,0,0,0,0,0
1695,0,0,0,0,0,0
1801,1,1,2,0,9,2
1547,1,1,1,0,7,2
1523,1,1,1,1,10,2
2528,0,0,1,0,1,0
2621,1,0,4,2,10,4
2352,0,0,2,0,4,0
1752,1,0,2,0,9,2
1322,1,1,2,0,9,2
1635,1,1,3,1,9,2
2082,0,0,2,0,4,0
2811,0,0,5,0,7,1
1574,0,0,1,0,0,0
1507,1,1,2,0,11,2
1923,1,1,2,0,7,1
1985,0,1,0,0,1,0
1662,1,1,2,0,11,3
1350,1,1,2,0,9,1
1741,0,0,0,0,2,0
1712,0,0,0,0,3,0
1989,1,1,2,2,11,4
1866,0,0,1,0,3,0
2321,1,0,1,2,11,4
1530,0,0,0,0,1,0
2444,0,1,1,1,5,0
3691,1,0,4,1,9,2
1982,1,0,3,0,10,2
2370,1,0,3,1,11,3
2137,0,0,0,0,1,0
2092,0,0,1,1,6,0
1956,1,1,3,1,10,2
2479,1,1,2,1,11,4
2029,1,1,1,1,10,2
2158,1,1,2,0,9,2
1904,1,1,4,0,10,2
1556,1,1,1,1,7,1
1607,1,0,2,0,6,1
1916,1,0,3,0,9,1
2667,0,0,0,0,3,0
2148,1,1,2,2,11,4
1725,0,1,2,0,2,0
2468,1,1,4,1,11,2
1841,1,0,0,1,6,1
1714,1,0,1,1,6,1
1951,1,0,3,0,7,1
1989,1,0,2,0,8,1
2484,0,1,3,1,10,2
1959,0,0,0,0,1,0
1844,0,1,2,0,2,0
1441,0,0,0,0,1,0
2105,0,0,0,0,0,0
1418,1,0,2,0,10,2
1282,1,1,2,0,11,2
2336,1,1,2,1,11,5
1639,1,1,0,1,8,1
2019,1,1,2,1,9,1
1820,1,1,1,2,7,2
1358,0,0,0,0,0,0
2841,0,0,2,0,6,2
2449,1,0,2,2,10,3
1461,0,0,2,0,0,0
2114,0,1,1,0,3,0
2170,1,0,2,1,10,3
1510,1,1,3,0,11,3
2041,0,0,0,0,5,0
1356,1,0,0,1,9,2
1715,0,1,1,0,1,0
1949,0,0,1,0,0,0
1640,0,0,0,0,0,0
1666,0,1,0,0,0,0
1231,1,1,1,0,5,1
1791,0,1,0,0,4,0
1997,0,1,1,0,3,0
1679,0,1,1,0,2,0
2995,0,1,2,2,6,0
2115,1,0,3,1,8,1
2006,0,1,0,1,4,1
2033,0,0,3,0,1,0
2221,0,1,1,0,7,2
1250,0,0,0,0,1,0
2016,1,0,2,0,11,3
1230,1,0,0,0,8,1
1461,1,1,1,1,11,3
2306,1,0,4,1,9,1
1128,1,1,2,0,10,2
2043,1,0,0,0,9,2
2129,1,1,3,1,9,2
2299,0,0,1,0,3,0
1661,0,0,0,0,0,0
2799,1,0,4,1,11,5
2065,0,1,2,1,4,0
1920,0,0,1,0,2,0
1240,0,0,0,0,1,0
1604,1,1,1,1,9,2
1619,1,0,1,0,8,2
1931,1,1,3,1,11,3
1521,0,1,1,0,1,0
2345,1,0,2,2,9,1
1686,1,1,1,1,11,3
1469,1,1,2,0,7,2
2622,1,0,1,3,8,1
2405,1,0,0,2,10,2
1628,0,0,1,0,2,0
1894,1,1,4,1,9,2
2258,0,0,2,0,4,0
2331,0,1,2,2,5,0
2152,1,1,2,0,8,1
2264,1,1,3,0,9,2
1969,1,0,3,1,9,1
2480,1,0,3,1,7,1
2081,1,1,3,0,10,2
1747,0,0,0,0,3,0
2189,0,0,2,1,3,0
1727,1,0,0,0,11,3
2568,1,0,5,1,10,3
2175,0,1,0,1,4,0
2197,1,1,2,2,10,3
2347,1,1,1,1,10,2
2031,1,1,4,1,11,3
1524,1,0,0,1,7,2
1453,0,0,0,0,2,0
1883,1,1,2,1,9,2
2542,1,0,4,1,11,4
1467,0,0,0,0,4,0
1149,1,1,1,0,11,3
1982,1,1,1,1,9,2
1437,1,1,1,1,7,2
2092,1,1,3,1,10,2
2892,0,1,1,0,4,0
1954,1,1,2,1,8,1
1572,0,0,0,0,1,0
2075,1,0,3,1,8,2
2376,0,0,0,1,4,0
1714,0,1,0,0,1,0
1519,0,0,1,0,1,0
2019,0,1,1,0,4,0
1795,0,0,0,0,3,0
2339,1,1,3,1,7,1
1902,1,0,1,0,8,2
2383,0,1,2,1,4,0
1410,0,0,1,0,3,0
2086,1,1,2,1,11,3
2265,0,0,1,0,5,0
1467,1,1,1,1,8,1
1588,1,1,2,1,11,3
1569,1,1,3,0,11,2
1965,1,0,3,1,11,3
1964,1,0,2,1,7,1
1753,0,0,0,0,2,0
1731,1,0,2,1,11,2
1841,0,1,2,1,6,1
1895,0,0,0,0,2,0
1604,0,0,1,0,3,0
1381,0,1,0,0,0,0
2210,1,0,2,1,9,2
2074,0,1,3,1,8,2
2058,0,0,1,0,2,0
1754,0,0,0,0,1,0
1224,0,0,0,0,0,0
1282,0,0,1,0,0,0
2003,0,0,1,1,4,0
1692,1,0,1,0,11,3
2339,0,0,1,1,5,1
1759,1,1,2,0,9,2
1879,1,0,2,1,7,1
2074,0,0,1,0,6,0
1639,0,1,0,0,0,0
1209,1,1,1,0,11,2
2510,1,1,3,0,7,1
1880,1,0,4,0,7,2
2143,0,1,0,1,5,1
2157,1,0,3,1,8,1
1311,0,0,0,0,0,0
2434,1,0,3,1,9,1
1409,0,0,0,0,1,0
1880,1,0,1,1,9,1
1352,1,1,2,0,9,2
1120,1,0,1,0,6,1
2440,1,0,3,0,9,1
1967,0,1,1,0,3,1
1802,1,1,0,1,7,2
1863,0,1,1,0,5,0
1830,0,1,1,0,0,0
1665,1,1,3,1,10,2
2603,0,0,0,0,5,1
1444,1,1,2,0,10,2
1843,0,1,0,0,1,0
1640,0,1,0,0,3,0
1341,0,1,0,0,0,0
1518,1,0,2,1,11,2
1729,1,1,2,0,10,1
1648,1,1,0,0,10,2
2589,0,1,1,1,5,0
1488,1,0,2,1,9,1
1592,1,0,3,1,9,2
2089,0,0,1,0,4,0
1359,1,1,2,0,10,2
1989,1,0,1,1,8,1
1552,0,0,0,0,1,0
1736,1,0,2,1,7,1
1417,1,1,2,0,8,1
1416,1,1,2,1,10,2
2245,0,0,0,0,1,0
1508,0,0,1,0,3,0
1862,1,0,1,1,10,2
2226,1,1,1,2,11,3
1739,0,1,0,0,0,0
2411,1,0,3,2,10,3
2113,1,1,3,1,8,1
2691,0,1,0,1,8,1
1512,1,1,2,0,11,3
1999,0,1,0,0,2,0
2157,1,0,0,0,9,2
2625,1,0,2,0,8,1
2280,0,0,1,0,3,0
1834,0,0,1,0,2,0
2063,0,0,2,0,3,0
1456,1,0,2,0,9,1
1787,0,1,1,0,4,0
2091,0,0,0,0,2,0
1876,1,0,3,1,7,1
1858,1,1,2,1,9,2
1430,0,0,1,0,4,0
2106,1,0,3,0,9,1
2182,1,1,3,1,10,2
2593,1,0,2,1,10,1
2018,0,1,1,0,3,0
1812,0,0,0,0,2,0
1797,0,0,1,0,2,0
1875,0,0,0,0,0,0
1735,1,1,2,1,9,1
916,0,0,0,0,0,0
1506,1,1,2,0,10,2
2488,1,1,1,0,7,1
1578,0,0,1,0,7,1
1367,0,0,0,0,2,0
1599,0,0,0,0,1,0
1697,0,1,1,0,3,0
1626,1,0,3,1,9,2
1812,1,1,3,0,11,4
2148,0,1,1,0,5,0
3140,1,0,1,2,9,1
1684,1,0,3,0,10,3
1422,0,0,0,0,1,0
2296,0,0,3,1,5,0
2166,1,0,2,1,9,2
1545,1,0,3,0,9,2
2200,1,0,2,2,11,3
1257,0,0,0,0,1,0
3109,0,0,1,0,5,1
1816,0,0,1,0,2,0
2024,1,1,2,1,7,1
1915,1,1,2,1,11,3
1687,1,0,3,1,11,3
1689,0,0,2,0,3,0
2451,1,0,2,2,10,4
2930,1,0,3,0,9,4
2251,1,1,3,0,10,2
1563,1,1,2,0,11,3
1880,0,0,1,0,3,0
1282,0,0,0,0,0,0
2065,1,0,1,2,6,1
1807,0,0,1,0,2,0
1745,0,0,0,0,1,0
1369,0,0,0,0,0,0
2195,0,1,1,0,1,0
1880,1,1,2,1,7,1
1858,1,0,4,1,11,3
2043,0,0,0,0,3,0
1933,1,0,2,1,9,2
2641,1,0,2,2,8,1
1671,0,0,0,0,3,0
2828,1,1,0,2,9,3
2297,1,1,1,2,7,1
1444,0,0,0,0,0,0
1698,1,0,3,1,10,2
1131,0,1,1,0,0,0
2116,1,1,0,1,7,1
3563,0,1,3,0,8,4
1709,1,0,2,0,11,2
2265,0,0,1,0,3,0
1486,1,1,1,0,5,1
2080,0,0,2,0,6,0
1789,0,0,1,0,4,0
1057,1,1,0,0,10,2
1738,0,1,1,0,4,0
1731,1,1,0,0,8,1
1941,1,0,2,0,11,3
2376,1,1,4,1,11,3
2245,0,1,1,1,8,2
2542,1,1,3,1,11,2
2536,0,1,1,0,4,0
2084,0,0,1,0,9,1
2026,1,0,3,1,9,2
2162,0,0,2,0,2,0
2172,1,1,4,1,11,5
1512,0,0,0,0,1,0
2031,1,0,1,0,8,1
1821,0,1,1,0,1,0
1618,0,0,0,0,1,0
1002,0,0,0,0,0,0
2275,0,0,3,0,6,1
2419,1,0,4,1,11,5
1340,0,0,0,0,0,0
1868,0,0,0,0,3,0
2470,1,1,2,1,11,4
1888,0,0,1,0,4,0
2259,1,1,1,0,10,2
1912,1,1,2,0,8,1
2342,1,1,2,1,10,2
1746,0,1,4,0,9,1
1073,1,0,1,0,9,1
2413,1,1,1,2,11,3
1356,0,1,0,0,0,0
1691,0,0,1,0,4,1
2193,1,1,3,2,11,4
2453,1,0,1,1,10,2
1276,1,1,1,0,9,1
1760,1,1,3,1,8,1
1310,0,0,0,0,1,0
1988,1,1,2,1,10,2
1787,0,0,1,0,2,0
1538,0,0,0,0,0,0
1815,0,0,1,0,3,0
2095,0,0,0,0,1,0
1995,1,0,3,2,10,2
1346,1,1,2,0,8,1
1765,0,1,0,0,2,0
2155,1,0,3,0,9,3
1776,0,0,0,0,1,0
1607,0,0,0,0,1,0
1611,1,0,1,0,9,2
2012,1,0,3,0,11,2
2103,0,0,2,1,4,0
1245,0,1,0,0,0,0
2933,1,1,4,0,11,7
1969,1,0,2,1,11,3
1316,0,0,0,0,2,0
1902,0,0,0,0,3,0
1788,1,0,3,0,7,1
2503,0,1,2,0,6,0
1455,1,1,3,0,10,2
1986,1,1,0,0,9,3
1254,0,1,0,0,0,0
1682,0,1,0,0,1,0
1811,0,1,1,1,2,0
1717,1,0,3,1,10,2
1751,1,1,2,1,11,2
1349,1,1,2,1,9,1
2357,0,0,2,0,1,0
2088,1,0,1,0,8,1
2289,0,0,0,0,3,0
2110,0,0,1,0,2,0
1597,0,1,2,0,5,0
1833,1,1,2,1,8,2
2975,1,0,1,1,9,2
1783,0,1,0,0,1,0
2514,1,0,1,1,7,1
1871,0,0,2,0,2,0
1998,1,1,2,0,11,3
2730,0,1,2,1,5,1
2326,1,1,2,1,11,3
1636,1,1,3,0,11,4
1747,1,0,2,1,11,3
1846,0,1,0,0,0,0
1605,0,0,0,0,0,0
2236,0,0,0,1,1,0
2258,0,1,0,0,7,2
1689,1,1,3,1,8,1
2340,0,1,2,1,5,0
2055,0,0,1,0,3,0
1802,0,1,1,0,4,0
2199,0,0,1,0,3,0
1375,1,1,1,0,7,1
1395,0,0,0,0,0,0
2221,0,1,2,0,4,0
1538,0,0,0,0,2,0
2289,1,0,2,1,9,2
1572,1,0,2,1,11,2
2079,0,1,2,1,3,0
1904,0,0,0,0,2,0
1740,0,0,2,0,1,0
1686,1,0,0,1,7,1
2039,1,1,2,1,8,1
2584,1,1,4,1,10,3
1927,0,1,2,0,3,0
1853,0,1,1,0,1,0
2447,1,1,1,2,9,3
1047,1,1,1,0,5,1
2274,0,0,0,0,3,0
1499,1,0,2,0,10,2
1760,1,1,1,0,8,1
2016,0,1,1,0,2,0
2400,1,1,1,1,9,1
2156,0,1,2,1,7,0
1811,1,1,3,0,10,2
2244,1,1,3,0,11,3
2303,1,0,0,1,7,1
1851,1,1,1,1,11,3
1905,1,1,2,0,8,2
1745,0,1,1,0,1,0
1638,1,1,1,0,11,3
1778,1,1,2,1,10,2
2093,1,0,2,1,9,2
1627,1,0,1,1,6,1
1931,0,0,1,0,1,0
1772,1,0,3,1,11,3
2279,0,0,2,0,5,1
2390,1,1,3,1,11,5
1612,0,1,1,0,3,0
1014,0,0,0,0,0,0
2208,1,1,2,2,10,3
2420,0,1,2,1,7,1
1780,0,1,0,1,3,0
1484,1,1,1,1,11,3
2256,0,1,0,0,4,0
2545,0,0,0,0,7,1
1477,1,0,2,0,9,2
1258,1,1,1,0,10,2
2540,1,1,3,1,9,1
1318,0,1,2,0,3,0
1740,1,0,3,2,10,3
1715,1,1,3,1,11,4
1555,1,1,1,0,7,1
2907,0,0,4,1,6,0
