id,StuId,Class,Sex,CHI611,MATH611,ENG611,CHI612,MATH612,ENG612,CHI621,MATH621,ENG621,CHI622,MATH622,ENG622,CHI711,MATH711,ENG711,CHI712,MATH712,ENG712,CHI721,MATH721,ENG721,CHI722,MATH722,ENG722,CHI811,MATH811,ENG811,PHY811,CHI812,MATH812,ENG812,PHY812,CHI821,MATH821,ENG821,PHY821,CHI822,MATH822,ENG822,PHY822,CHI911,MATH911,ENG911,PHY911,CHE911,CHI912,MATH912,ENG912,PHY912,CHE912,CHI921,MATH921,ENG921,PHY921,CHE921
64,B23,B,M,81.0,98.0,95.0,85.0,93.0,98.0,91.0,96.0,100.0,86.0,95.0,98.0,86.0,93.0,96.0,92.0,100.0,97.5,80.0,95.0,92.0,87.0,94.0,95.0,87.0,98.0,92.0,98.0,91.0,94.0,96.0,97.0,86.0,91.0,97.0,93.0,68.66666666666667,73.33333333333333,76.33333333333333,97.0,85.33333333333333,93.33333333333333,94.66666666666667,86.0,56.0,88.66666666666667,94.0,95.33333333333333,96.0,90.0,85.33333333333333,91.33333333333333,88.66666666666667,87.0,53.0
65,B24,B,M,77.0,98.0,93.0,82.0,97.0,93.0,83.0,94.0,96.0,86.0,92.0,98.0,87.0,88.0,93.0,85.0,99.0,95.5,86.0,93.0,94.0,78.0,83.0,97.0,90.0,95.0,94.0,98.0,87.0,84.0,94.0,93.0,84.0,91.0,93.0,97.0,68.66666666666667,72.66666666666667,77.0,100.0,82.0,92.66666666666667,88.0,81.0,57.0,86.66666666666667,85.33333333333333,93.0,98.0,97.0,85.33333333333333,92.0,93.33333333333333,87.0,56.0
66,B25,B,M,81.0,98.0,92.0,86.0,91.0,92.0,83.0,93.0,90.0,84.0,91.0,96.0,85.0,93.0,93.0,84.0,94.0,94.5,80.0,93.0,96.0,78.0,80.0,92.0,87.0,90.0,92.0,92.0,90.0,85.0,95.0,88.0,83.0,89.0,93.0,87.0,64.66666666666667,69.33333333333333,75.33333333333333,97.0,83.33333333333333,90.66666666666667,88.66666666666667,76.0,55.0,84.0,93.33333333333333,90.33333333333333,89.0,92.0,83.33333333333333,89.33333333333333,95.0,86.0,55.0
67,B26,B,M,80.0,93.0,91.0,75.0,90.0,86.0,88.0,94.0,91.0,73.0,90.0,89.0,75.0,92.0,94.0,83.0,97.0,89.5,78.0,88.0,95.0,85.0,93.0,94.0,85.0,97.0,94.0,100.0,87.0,96.0,95.0,89.0,79.0,89.0,95.0,96.0,58.666666666666664,76.66666666666667,78.0,98.0,81.33333333333333,88.0,89.33333333333333,82.0,55.0,81.33333333333333,99.33333333333333,93.0,92.0,92.0,78.66666666666667,93.33333333333333,96.0,82.0,50.0
68,B27,B,M,80.0,99.0,88.0,81.0,93.0,91.0,82.0,96.0,86.0,82.0,94.0,92.0,80.0,91.0,88.0,82.0,97.0,91.5,81.0,91.0,91.0,81.0,84.0,91.0,85.0,86.0,86.0,92.0,83.0,84.0,90.0,80.0,72.0,85.0,89.0,89.0,63.333333333333336,67.33333333333333,70.66666666666667,90.0,85.33333333333333,80.0,78.66666666666667,71.0,46.0,76.0,88.66666666666667,89.0,94.0,82.0,75.33333333333333,76.0,88.0,85.0,42.0
69,B28,B,M,78.0,100.0,91.0,80.0,97.0,97.0,83.0,98.0,92.0,81.0,97.0,95.0,80.0,93.0,95.0,83.0,100.0,94.5,81.0,93.0,94.0,75.0,88.0,93.0,79.0,90.0,86.0,93.0,90.0,84.0,91.0,91.0,83.0,87.0,89.0,97.0,61.333333333333336,70.0,72.0,93.0,78.0,95.33333333333333,88.66666666666667,85.0,53.0,80.66666666666667,92.0,87.66666666666667,95.0,82.0,78.66666666666667,85.33333333333333,91.33333333333333,81.0,50.0
70,B29,B,M,77.0,100.0,89.0,80.0,99.0,94.0,82.0,97.0,91.0,81.0,98.0,97.0,84.0,95.0,92.0,78.0,96.0,93.5,80.0,94.0,93.0,75.0,81.0,96.0,83.0,95.0,89.0,97.0,89.0,88.0,97.0,93.0,84.0,76.0,91.0,96.0,62.0,77.33333333333333,72.0,97.0,82.0,89.33333333333333,82.0,82.0,53.0,77.33333333333333,82.0,85.66666666666667,84.0,92.0,74.66666666666667,75.33333333333333,93.66666666666667,80.0,48.0
71,B30,B,M,83.0,100.0,87.0,85.0,96.0,87.0,74.0,92.0,88.0,80.0,93.0,87.0,82.0,93.0,80.0,80.0,97.0,85.5,73.0,94.0,85.0,73.0,98.0,86.0,79.0,91.0,75.0,96.0,87.0,89.0,74.0,88.0,74.0,89.0,77.0,91.0,64.66666666666667,76.0,60.0,96.0,74.66666666666667,90.0,76.0,84.0,57.0,78.66666666666667,90.66666666666667,82.0,93.0,94.0,78.66666666666667,91.33333333333333,81.33333333333333,83.0,54.0
72,B31,B,M,73.0,97.0,90.0,78.0,93.0,91.0,73.0,93.0,93.0,80.0,95.0,92.0,75.0,95.0,86.0,80.0,93.0,95.5,78.0,93.0,88.0,76.0,83.0,93.0,81.0,92.0,88.0,94.0,89.0,88.0,95.0,88.0,76.0,85.0,95.0,90.0,61.333333333333336,66.0,74.66666666666667,93.0,83.33333333333333,85.33333333333333,87.33333333333333,81.0,53.0,83.33333333333333,90.66666666666667,94.0,94.0,93.0,74.66666666666667,86.0,95.33333333333333,87.0,47.0
73,B32,B,M,72.0,86.0,73.0,79.0,89.0,79.0,76.0,90.0,79.0,63.0,87.0,80.0,60.0,91.0,70.0,76.0,93.0,75.5,68.0,86.0,62.0,73.0,77.0,76.0,75.0,91.0,68.0,84.0,81.0,85.0,79.0,78.0,74.0,74.0,74.0,81.0,43.333333333333336,73.33333333333333,63.0,90.0,77.33333333333333,92.66666666666667,68.66666666666667,75.0,49.0,74.0,92.0,70.66666666666667,87.0,86.0,72.0,85.33333333333333,79.66666666666667,77.0,52.0
74,B33,B,M,78.0,93.0,81.0,81.0,94.0,82.0,83.0,85.0,87.0,78.0,94.0,94.0,73.0,88.0,77.0,80.0,81.0,84.0,72.0,91.0,92.0,80.0,86.0,88.0,80.0,93.0,80.0,96.0,87.0,84.0,77.0,84.0,78.0,78.0,75.0,93.0,60.666666666666664,70.66666666666667,72.0,95.0,77.33333333333333,84.66666666666667,74.0,80.0,43.0,82.0,85.33333333333333,86.66666666666667,85.0,89.0,80.0,84.66666666666667,89.33333333333333,81.0,54.0
75,B34,B,M,76.0,84.0,83.0,74.0,84.0,91.0,76.0,81.0,81.0,72.0,82.0,85.0,81.0,83.0,81.0,68.0,76.0,85.0,78.0,83.0,85.0,74.0,81.0,82.0,77.0,92.0,84.0,80.0,79.0,70.0,87.0,74.0,73.0,73.0,87.0,81.0,58.0,63.333333333333336,72.66666666666667,84.0,80.0,78.66666666666667,85.33333333333333,72.0,46.0,80.66666666666667,83.33333333333333,89.33333333333333,77.0,82.0,76.66666666666667,77.33333333333333,84.33333333333333,78.0,43.0
84,C01,C,F,80.0,92.0,93.0,81.0,90.0,89.0,72.0,86.0,94.0,71.0,93.0,94.0,76.0,90.0,89.0,75.0,92.0,87.0,81.0,88.0,89.0,77.0,86.0,88.0,79.0,84.0,87.0,96.0,84.0,92.0,94.0,90.0,78.0,90.0,91.0,90.0,61.333333333333336,74.0,76.33333333333333,94.0,75.33333333333333,85.33333333333333,86.0,80.0,51.0,72.66666666666667,90.0,89.33333333333333,86.0,85.0,76.66666666666667,88.0,89.33333333333333,77.0,48.0
85,C02,C,F,78.0,100.0,94.0,82.0,94.0,100.0,78.0,100.0,97.0,83.0,95.0,97.0,83.0,100.0,97.0,85.0,97.0,97.0,77.0,96.0,97.0,81.0,97.0,97.0,84.0,100.0,95.0,99.0,84.0,97.0,99.0,98.0,77.0,94.0,93.0,98.0,62.0,73.33333333333333,76.66666666666667,96.0,87.33333333333333,96.0,92.0,87.0,57.0,79.33333333333333,100.0,94.33333333333333,91.0,96.0,81.33333333333333,94.66666666666667,94.66666666666667,90.0,57.0
86,C03,C,F,77.0,92.0,92.0,80.0,92.0,95.0,84.0,88.0,92.0,75.0,83.0,93.0,81.0,92.0,96.0,83.0,86.0,95.5,79.0,96.0,92.0,76.0,86.0,92.0,86.0,89.0,93.0,94.0,83.0,75.0,93.0,82.0,77.0,85.0,92.0,84.0,58.666666666666664,75.33333333333333,76.33333333333333,95.0,85.33333333333333,91.33333333333333,78.0,71.0,42.0,81.33333333333333,88.66666666666667,89.0,78.0,78.0,75.33333333333333,90.66666666666667,91.66666666666667,83.0,51.0
87,C04,C,F,79.0,80.0,91.0,75.0,100.0,87.0,82.0,97.0,86.0,83.0,93.0,93.0,76.0,93.0,94.0,75.0,91.0,91.0,81.0,94.0,92.0,75.0,91.0,90.0,82.0,96.0,85.0,92.0,87.0,86.0,92.0,77.0,77.0,77.0,88.0,89.0,59.333333333333336,78.0,68.33333333333333,96.0,86.0,90.0,73.33333333333333,74.0,48.0,77.33333333333333,92.66666666666667,87.66666666666667,89.0,83.0,78.66666666666667,90.0,86.0,84.0,50.0
88,C05,C,F,79.0,95.0,94.0,81.0,99.0,97.0,81.0,97.0,93.0,81.0,98.0,100.0,82.0,90.0,90.0,85.0,98.0,95.5,78.0,96.0,97.0,82.0,95.0,96.0,81.0,95.0,87.0,93.0,85.0,90.0,98.0,98.0,71.0,90.0,93.0,91.0,61.333333333333336,75.33333333333333,75.0,98.0,84.0,90.66666666666667,84.0,78.0,49.0,82.0,91.33333333333333,94.66666666666667,89.0,90.0,82.0,86.0,94.0,87.0,54.0
